port,status,banner
22,open,SSH-2.0-OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.13
4,closed,
2,closed,
3,closed,
15,closed,
16,closed,
10,closed,
23,closed,
24,closed,
28,closed,
33,closed,
35,closed,
14,closed,
13,closed,
40,closed,
11,closed,
43,closed,
44,closed,
45,closed,
46,closed,
42,closed,
19,closed,
25,closed,
29,closed,
30,closed,
34,closed,
31,closed,
32,closed,
12,closed,
48,closed,
50,closed,
51,closed,
52,closed,
56,closed,
55,closed,
57,closed,
60,closed,
61,closed,
9,closed,
21,closed,
62,closed,
63,closed,
64,closed,
6,closed,
7,closed,
5,closed,
17,closed,
20,closed,
1,closed,
26,closed,
27,closed,
36,closed,
38,closed,
37,closed,
49,closed,
53,closed,
58,closed,
18,closed,
39,closed,
41,closed,
47,closed,
54,closed,
59,closed,
8,closed,
65,closed,
66,closed,
67,closed,
68,closed,
69,closed,
72,closed,
73,closed,
74,closed,
75,closed,
81,closed,
86,closed,
77,closed,
78,closed,
82,closed,
85,closed,
84,closed,
88,closed,
90,closed,
83,closed,
92,closed,
94,closed,
95,closed,
96,closed,
99,closed,
100,closed,
76,closed,
71,closed,
91,closed,
89,closed,
97,closed,
79,closed,
70,closed,
87,closed,
98,closed,
93,closed,
80,open,No banner
